gaia_source_id,hyg_id,constellation
5.836228026844868e+18,117881,Phe
6.680786959953165e+18,117944,Scl
6.003855931786055e+18,117923,Phe
4.464214850283455e+18,117950,Peg
5.836225007591783e+18,117881,Phe
5.781872952269546e+18,117877,Tuc
5.40842128097398e+18,117887,Phe
5.836226858613629e+18,117881,Phe
5.408421766312313e+18,117887,Phe
2.0650889653400466e+18,117901,And
6.003854591756259e+18,117923,Phe
6.680670484735724e+18,117923,Phe
5.800597944553094e+18,117954,Tuc
4.4641603900976794e+18,117861,Peg
1.8722962672019497e+18,117929,And
4.150374237028036e+18,117879,Cet
2.0650777941258988e+18,117929,And
6.68080259363412e+18,117944,Scl
5.408446638462409e+18,117887,Phe
4.464162378666012e+18,117861,Peg
6.003842565847684e+18,117923,Phe
5.781887761317503e+18,117877,Tuc
4.150359702858737e+18,117879,Cet
4.4641097739057485e+18,117861,Peg
5.781890922413237e+18,117877,Tuc
4.4640561426512573e+18,117861,Peg
1.8722877459871483e+18,117929,And
6.00386266629467e+18,119613,Phe
2.065107137335742e+18,117901,And
5.781873055348763e+18,117877,Tuc
6.680592763007725e+18,117923,Phe
4.4640767198374303e+18,117861,Peg
6.68074308686291e+18,117944,Scl
6.003851946056402e+18,117923,Phe
4.464160287018463e+18,117861,Peg
5.781822443453528e+18,117877,Tuc
4.4642175647027937e+18,117950,Peg
6.725829415862469e+18,117944,Scl
5.836227447133519e+18,117881,Phe
6.680778443033815e+18,117944,Scl
5.942445286830215e+18,119613,Phe
2.0472202521368448e+18,117948,And
5.40844647096527e+18,117887,Phe
5.781822340374309e+18,117877,Tuc
2.0472205957337073e+18,117948,And
5.800578737458398e+18,117954,Tuc
5.800596845041451e+18,117954,Tuc
4.4641976317631846e+18,117950,Peg
4.650819497004232e+18,117822,Tuc
5.781829109242902e+18,117877,Tuc
1.8723269504494072e+18,117929,And
2.047210871927702e+18,117948,And
5.836233185210542e+18,117881,Phe
6.003862631934932e+18,119613,Phe
4.464137059835182e+18,117861,Peg
4.4642239899738675e+18,117950,Peg
4.464051847684106e+18,117861,Peg
4.464172416006125e+18,117861,Peg
1.8723017647609188e+18,117929,And
5.833493992458972e+18,117878,Tuc
4.46407634617746e+18,117861,Peg
4.4640758307813883e+18,117861,Peg
4.464068129902838e+18,117861,Peg
6.725814233188496e+18,117944,Scl
6.680795859125403e+18,117944,Scl
6.680678284396334e+18,117923,Phe
5.781829315401333e+18,117877,Tuc
2.065086285280421e+18,117901,And
6.680623961650121e+18,117923,Phe
2.0472261233363517e+18,117948,And
5.408435132250451e+18,117887,Phe
6.003848132125576e+18,117923,Phe
1.8723000081040543e+18,117929,And
5.408468976593536e+18,117887,Phe
6.003882560583358e+18,119613,Phe
6.680592797367467e+18,117923,Phe
6.725816638370183e+18,117944,Scl
1.8722897044922327e+18,117929,And
2.0650995824997494e+18,117901,And
5.80060375135169e+18,117954,Tuc
5.800587121235183e+18,117954,Tuc
5.408444817394127e+18,117887,Phe
6.680729239888439e+18,117944,Scl
6.680743774057678e+18,117944,Scl
4.4641157911572593e+18,117861,Peg
4.464216636989869e+18,117950,Peg
4.150344859425929e+18,117879,Cet
5.781832923173856e+18,117877,Tuc
6.003886133996205e+18,119613,Phe
6.680687007473225e+18,117923,Phe
1.8723157835342979e+18,117929,And
5.408434681271319e+18,117887,Phe
4.65081784773685e+18,117877,Tuc
4.464115207041706e+18,117861,Peg
4.4640519164035845e+18,117861,Peg
4.4641078196979553e+18,117861,Peg
6.003848716241149e+18,117923,Phe
6.680583314079676e+18,117923,Phe
2.047233927312735e+18,117948,And
4.464107785338217e+18,117861,Peg
6.003847135692884e+18,117923,Phe
6.003862528855716e+18,119613,Phe
6.680711510263388e+18,117944,Scl
